suite,label,rep,workers,worker_processes,submitters,connections,job_type,payload,priorities,max_attempts,jobs,group_commit,max_outstanding,submitted,completed,rejected,succeeded,failed,wall_s,throughput_per_s,submit_rate_per_s,store_batches,store_writes,rows_per_transaction,e2e_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,queue_p50_ms,queue_p95_ms,exec_p50_ms,exec_p95_ms,submit_call_p50_ms,submit_call_p99_ms,error_rate,cpu_seconds,cores_used,peak_rss_mb,ctx_switches,raw_csv
worker_scaling,noop_w1,1,1,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3551,56328.7,56364.2,9906,80000,8.08,0.2,0.154,0.51,0.805,0,1,0.001,0.006,0.065,0.18,,0.726,2.04,19.0,107545,results/raw/worker_scaling_noop_w1_r1.csv
worker_scaling,noop_w1,2,1,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3256,61416.2,61416.2,9904,80000,8.08,0.159,0.135,0.32,0.431,0,1,0.001,0.006,0.062,0.133,,0.660,2.03,18.6,106412,results/raw/worker_scaling_noop_w1_r2.csv
worker_scaling,noop_w1,3,1,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3264,61277.7,61277.7,9907,80000,8.08,0.146,0.128,0.287,0.388,0,1,0.001,0.006,0.062,0.133,,0.667,2.04,18.5,105633,results/raw/worker_scaling_noop_w1_r3.csv
worker_scaling,noop_w2,1,2,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3435,58227.6,58312.4,9996,80000,8.00,0.325,0.235,0.822,1.17,0,1,0.002,0.008,0.064,0.156,,0.772,2.25,18.4,125063,results/raw/worker_scaling_noop_w2_r1.csv
worker_scaling,noop_w2,2,2,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3563,56136.6,56138.6,9954,80000,8.04,0.356,0.265,0.927,1.208,0,1,0.002,0.008,0.065,0.194,,0.783,2.20,18.9,124990,results/raw/worker_scaling_noop_w2_r2.csv
worker_scaling,noop_w2,3,2,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3454,57895.5,58355.3,10081,80000,7.94,0.738,0.375,3.267,3.424,0,3,0.002,0.008,0.064,0.15,,0.768,2.22,18.9,126232,results/raw/worker_scaling_noop_w2_r3.csv
worker_scaling,noop_w4,1,4,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3785,52847.1,58335.1,11734,80000,6.82,19.547,17.648,37.58,38.317,18,38,0.003,0.087,0.063,0.163,,0.950,2.51,18.9,147670,results/raw/worker_scaling_noop_w4_r1.csv
worker_scaling,noop_w4,2,4,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3611,55387.5,58336.1,10857,80000,7.37,4.601,1.817,19.026,19.652,2,19,0.003,0.081,0.063,0.163,,0.925,2.56,18.9,146731,results/raw/worker_scaling_noop_w4_r2.csv
worker_scaling,noop_w4,3,4,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3721,53746.5,58813.3,11463,80000,6.98,13.561,8.553,33.523,34.385,8,33,0.003,0.082,0.062,0.157,,0.929,2.50,19.5,147041,results/raw/worker_scaling_noop_w4_r3.csv
worker_scaling,noop_w8,1,8,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3931,50875.6,58822.8,12595,80000,6.35,27.994,26.421,53.269,53.786,26,53,0.003,0.221,0.063,0.154,,0.991,2.52,19.1,149707,results/raw/worker_scaling_noop_w8_r1.csv
worker_scaling,noop_w8,2,8,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3923,50984.8,57886.8,12703,80000,6.30,23.685,20.863,48.714,49.73,21,49,0.003,0.206,0.063,0.169,,0.992,2.53,19.5,149676,results/raw/worker_scaling_noop_w8_r2.csv
worker_scaling,noop_w8,3,8,,4,,noop,{},,,20000,,,20000,20000,0,20000,0,0.3982,50230.8,57307.7,12465,80000,6.42,25.675,24.761,50.252,50.64,25,50,0.003,0.187,0.063,0.188,,0.984,2.47,19.5,149621,results/raw/worker_scaling_noop_w8_r3.csv
worker_scaling,sleep5ms_w1,1,1,,4,,sleep,"{""ms"":5}",,,4000,,,4000,4000,0,4000,0,24.6629,162.2,153757.4,9923,16000,1.61,12335.103,12337.526,23403.313,24389.557,12331,23398,6.278,6.314,0.023,0.059,,1.070,0.04,6.6,29754,results/raw/worker_scaling_sleep5ms_w1_r1.csv
worker_scaling,sleep5ms_w1,2,1,,4,,sleep,"{""ms"":5}",,,4000,,,4000,4000,0,4000,0,24.5803,162.7,156298.8,9946,16000,1.61,12281.448,12291.148,23330.884,24310.342,12284,23325,6.277,6.304,0.024,0.056,,0.941,0.04,7.8,27762,results/raw/worker_scaling_sleep5ms_w1_r2.csv
worker_scaling,sleep5ms_w1,3,1,,4,,sleep,"{""ms"":5}",,,4000,,,4000,4000,0,4000,0,24.5872,162.7,170510.3,9953,16000,1.61,12284.356,12263.625,23340.441,24317.377,12257,23334,6.277,6.302,0.022,0.049,,0.936,0.04,8.0,27376,results/raw/worker_scaling_sleep5ms_w1_r3.csv
worker_scaling,sleep5ms_w2,1,2,,4,,sleep,"{""ms"":5}",,,4000,,,4000,4000,0,4000,0,12.2420,326.7,173347.8,9499,16000,1.68,6119.765,6116.175,11611.658,12097.74,6110,11606,6.274,6.301,0.022,0.049,,0.739,0.06,7.7,24555,results/raw/worker_scaling_sleep5ms_w2_r1.csv
worker_scaling,sleep5ms_w2,2,2,,4,,sleep,"{""ms"":5}",,,4000,,,4000,4000,0,4000,0,12.2584,326.3,172778.7,9313,16000,1.72,6113.729,6103.263,11621.152,12109.957,6098,11615,6.273,6.303,0.022,0.048,,0.755,0.06,7.8,25367,results/raw/worker_scaling_sleep5ms_w2_r2.csv
